"","loglik","p1","p2","larv","pup","mu.p","S","mud.p","pupae.zero"
"49",2267.80213403467,0.108202227086114,0.019555033656521,0.125,0.0222222222222222,0.01,6,0,50
"50",2261.0719566711,0.126248274668422,0.0178070945689763,0.1,0.0222222222222222,0.01,6,0,50
"51",2266.87865950735,0.14555087105398,0.0168390399094504,0.0833333333333333,0.0222222222222222,0.01,6,0,50
"52",2253.56425287881,0.114558165068733,0.0200138542570987,0.125,0.02,0.01,6,0,50
"53",2250.4490634633,0.120327314191393,0.0149048646826201,0.1,0.02,0.01,6,0,50
"54",2252.24272332563,0.144396228099204,0.0154096279434077,0.0833333333333333,0.02,0.01,6,0,50
"55",2216.45240858089,0.0606503304758708,0.0272048407227189,0.125,0.0333333333333333,0.0025,8,0,50
"56",2204.32601750617,0.0752757121944528,0.0257345890359915,0.1,0.0333333333333333,0.0025,8,0,50
"57",2435.78095933737,0.0541703863423857,0.00494895941405808,0.0833333333333333,0.0333333333333333,0.0025,8,0,50
"58",2165.53035676938,0.0531637536166022,0.0157369742562469,0.125,0.0222222222222222,0.0025,8,0,50
"59",2131.91797745042,0.0626397279142928,0.0145946503528637,0.1,0.0222222222222222,0.0025,8,0,50
"60",2127.61543847364,0.0636059062645266,0.00919726974716641,0.0833333333333333,0.0222222222222222,0.0025,8,0,50
"61",2158.89063894444,0.0502411642616483,0.0114316701771921,0.125,0.02,0.0025,8,0,50
"62",2105.68941312912,0.0518329103167182,0.00421549039121217,0.1,0.02,0.0025,8,0,50
"63",2097.80708559996,0.0657592084408523,0.00975992587012297,0.0833333333333333,0.02,0.0025,8,0,50
"64",2235.03828865373,0.0698600425590644,0.0289301245346132,0.125,0.0333333333333333,0.006,8,0,50
"65",2237.31356280245,0.0885852078198898,0.0274877701926073,0.1,0.0333333333333333,0.006,8,0,50
"66",2240.99354259885,0.0886207142121834,0.0211373584728325,0.0833333333333333,0.0333333333333333,0.006,8,0,50
"67",2180.41327664336,0.057180241256428,0.0146956066475021,0.125,0.0222222222222222,0.006,8,0,50
"68",2173.65890420643,0.0711605938655072,0.0158333462250469,0.1,0.0222222222222222,0.006,8,0,50
"69",2178.93422193313,0.0832123396134232,0.0155325729752978,0.0833333333333333,0.0222222222222222,0.006,8,0,50
"70",2169.38516743488,0.0596624550661319,0.0148136521365101,0.125,0.02,0.006,8,0,50
"71",2150.56997505913,0.0651625978427984,0.0109710555847848,0.1,0.02,0.006,8,0,50
"72",2168.5030687379,0.075633461848382,0.0110471545503609,0.0833333333333333,0.02,0.006,8,0,50
"73",1e+05,246924.478273665,0.348576044587974,0.125,0.0333333333333333,0.01,8,0,50
"74",2669.8059381831,0.0497916280080989,8.80036872877934e-05,0.1,0.0333333333333333,0.01,8,0,50
"75",2261.37822108783,0.0982639125314077,0.0209026275078527,0.0833333333333333,0.0333333333333333,0.01,8,0,50
"76",2224.93667538873,0.0678680523524671,0.0176570898631225,0.125,0.0222222222222222,0.01,8,0,50
"77",2219.02800694981,0.0831497381088171,0.0173154971139211,0.1,0.0222222222222222,0.01,8,0,50
"78",2219.76898775388,0.0928483866851599,0.015433349188717,0.0833333333333333,0.0222222222222222,0.01,8,0,50
"79",2254.15365159043,0.0545966506768667,0.00605203673473072,0.125,0.02,0.01,8,0,50
"80",2211.05468908273,0.0791058779617512,0.0144055130591138,0.1,0.02,0.01,8,0,50
"81",2230.2668290601,0.0773300404185247,0.00897600216132145,0.0833333333333333,0.02,0.01,8,0,50
"82",2184.56669824611,0.261235652035131,0.037928556840898,0.125,0.0333333333333333,0.0025,4,1e-05,50
"83",2214.6957881522,0.263452043521806,0.0301628303762624,0.1,0.0333333333333333,0.0025,4,1e-05,50
"84",2243.63683342411,0.277797826331152,0.0259089179967495,0.0833333333333333,0.0333333333333333,0.0025,4,1e-05,50
"85",2072.91850490336,0.242129503366482,0.0281795026641595,0.125,0.0222222222222222,0.0025,4,1e-05,50
"86",2116.10703299567,0.256256814805524,0.0236891009665892,0.1,0.0222222222222222,0.0025,4,1e-05,50
